PIA,McLaren,1:23.433
NOR,McLaren,+0.193
HAM,Mercedes,+0.390
VER,Red Bull,+0.411
SAI,Ferrari,+0.438
RUS,Mercedes,+0.642
HUL,HAAS,+0.660
MAG,HAAS,+0.661
LEC,Ferrari,+0.665
PER,Red Bull,+0.850
